,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_67,130.0,2.0,1,0,2,2.8920738548240896
Sample_68,130.0,2.0,1,1,2,2.8920498374262373
Sample_69,130.0,4.0,0,0,2,2.8929621498521025
Sample_70,130.0,4.0,0,1,2,2.892938378439593
Sample_71,130.0,4.0,1,0,2,2.892803408354395
Sample_72,130.0,4.0,1,1,2,2.892779682967389
Sample_73,100.0,8.0,0,0,2,2.894182744770079
Sample_74,100.0,8.0,0,1,2,2.89420663295818
Sample_75,100.0,8.0,1,0,2,2.8940001161854108
Sample_76,100.0,8.0,1,1,2,2.894024052577879
Sample_77,130.0,1.5,0,0,2,2.8920498023537684
Sample_78,130.0,1.5,0,1,2,2.892025668853136
Sample_79,130.0,1.5,1,0,2,2.891891528002922
Sample_80,130.0,1.5,1,1,2,2.891867440455299
Sample_81,130.0,2.5,0,0,2,2.8924147144445653
Sample_82,130.0,2.5,0,1,2,2.8923907223592287
Sample_83,130.0,2.5,1,0,2,2.892256231458859
Sample_84,130.0,2.5,1,1,2,2.8922322853618603
Sample_85,130.0,3.5,0,0,2,2.892779696019046
Sample_86,130.0,3.5,0,1,2,2.8927558499223114
Sample_87,130.0,3.5,1,0,2,2.892621033416449
Sample_88,130.0,3.5,1,1,2,2.892597233334942
Sample_89,130.0,4.5,0,0,2,2.8931445454502023
Sample_90,130.0,4.5,0,1,2,2.8931208498348453
Sample_91,130.0,4.5,1,0,2,2.892985732347791
Sample_92,130.0,4.5,1,1,2,2.8929620827660987
Sample_93,100.0,7.0,0,0,2,2.8938667467990786
Sample_94,100.0,7.0,0,1,2,2.8938904867524764
Sample_95,100.0,7.0,1,0,2,2.8936841641138984
Sample_96,100.0,7.0,1,1,2,2.8937079522806717
Sample_97,100.0,7.5,0,0,2,2.894024848169818
Sample_98,100.0,7.5,0,1,2,2.894048662802902
Sample_99,100.0,7.5,1,0,2,2.8938422383251456
Sample_100,100.0,7.5,1,1,2,2.89386610116821
Sample_101,100.0,8.5,0,0,2,2.894340414882498
Sample_102,100.0,8.5,0,1,2,2.8943643754908015
Sample_103,100.0,8.5,1,0,2,2.894157775979908
Sample_104,100.0,8.5,1,1,2,2.8941817847847497
Sample_105,100.0,9.0,0,0,2,2.894497836841043
Sample_106,100.0,9.0,0,1,2,2.894521868724752
Sample_107,100.0,9.0,1,0,2,2.8943151960440225
Sample_108,100.0,9.0,1,1,2,2.8943392761142257
Sample_109,100.0,9.5,0,0,2,2.894654989035981
Sample_110,100.0,9.5,0,1,2,2.894679091040478
Sample_111,100.0,9.5,1,0,2,2.89447235476827
Sample_112,100.0,9.5,1,1,2,2.894496504947003
Sample_113,100.0,10.0,0,0,2,2.89481184991882
Sample_114,100.0,10.0,0,1,2,2.8948360208798345
Sample_115,100.0,10.0,1,0,2,2.8946292306032406
Sample_116,100.0,10.0,1,1,2,2.8946534497240215
Sample_117,130.0,5.0,0,0,2,2.8933268576286206
Sample_118,130.0,5.0,0,1,2,2.8933032389128814
Sample_119,130.0,5.0,1,0,2,2.893167980221796
Sample_120,130.0,5.0,1,1,2,2.8931444075457664
Sample_121,120.0,1.5,0,0,2,2.8920674992986872
Sample_122,120.0,1.5,0,1,2,2.892058875586506
Sample_123,120.0,1.5,1,0,2,2.8918986826141104
Sample_124,120.0,1.5,1,1,2,2.8918901063384994
Sample_125,120.0,2.0,0,0,2,2.892244967410166
Sample_126,120.0,2.0,0,1,2,2.892236420468585
Sample_127,120.0,2.0,1,0,2,2.892076037176756
Sample_128,120.0,2.0,1,1,2,2.8920675376915286
Sample_129,120.0,2.5,0,0,2,2.8924224765944744
Sample_130,120.0,2.5,0,1,2,2.8924140068655735
Sample_131,120.0,2.5,1,0,2,2.892253440535605
Sample_132,120.0,2.5,1,1,2,2.8922450182806654
Sample_133,120.0,3.0,0,0,2,2.892600002337085
Sample_134,120.0,3.0,0,1,2,2.8925916102523033
Sample_135,120.0,3.0,1,0,2,2.892430868190723
Sample_136,120.0,3.0,1,1,2,2.8924225235953323
Sample_137,120.0,3.5,0,0,2,2.8927775201189236
Sample_138,120.0,3.5,0,1,2,2.892769206098995
Sample_139,120.0,3.5,1,0,2,2.8926082956365633
Sample_140,120.0,3.5,1,1,2,2.892600029119276
Sample_141,120.0,4.0,0,0,2,2.8929550054220137
Sample_142,120.0,4.0,0,1,2,2.892946769876903
Sample_143,120.0,4.0,1,0,2,2.8927856983676135
Sample_144,120.0,4.0,1,1,2,2.8927775103362126
Sample_145,120.0,4.5,0,0,2,2.8931324337351176
Sample_146,120.0,4.5,0,1,2,2.8931242770639605
Sample_147,120.0,4.5,1,0,2,2.892963051884031
Sample_148,120.0,4.5,1,1,2,2.8929549427354697
Sample_149,110.0,7.0,0,0,2,2.89395406971176
Sample_150,110.0,7.0,0,1,2,2.89396227327979
Sample_151,110.0,7.0,1,0,2,2.893776450326839
Sample_152,110.0,7.0,1,1,2,2.893784702165595
Sample_153,110.0,8.0,0,0,2,2.894291107011914
Sample_154,110.0,8.0,0,1,2,2.8942994671082567
Sample_155,110.0,8.0,1,0,2,2.8941134402479793
Sample_156,110.0,8.0,1,1,2,2.89412184860515
Sample_157,110.0,8.5,0,0,2,2.894459275482761
Sample_158,110.0,8.5,0,1,2,2.894467713215358
Sample_159,110.0,8.5,1,0,2,2.894281597319742
Sample_160,110.0,8.5,1,1,2,2.8942900833048895
Sample_161,110.0,9.0,0,0,2,2.894627179671023
Sample_162,110.0,9.0,0,1,2,2.8946356946069827
Sample_163,110.0,9.0,1,0,2,2.894449498304997
Sample_164,110.0,9.0,1,1,2,2.8944580614830118
Sample_165,120.0,5.0,0,0,2,2.893309780559381
Sample_166,120.0,5.0,0,1,2,2.893301703150428
Sample_167,120.0,5.0,1,0,2,2.893140331697285
Sample_168,120.0,5.0,1,1,2,2.8931323018176287
Sample_169,120.0,5.5,0,0,2,2.8934870214139714
Sample_170,120.0,5.5,0,1,2,2.8934790236445282
Sample_171,120.0,5.5,1,0,2,2.8933175133357922
Sample_172,120.0,5.5,1,1,2,2.8933095631001624
Sample_173,120.0,6.0,0,0,2,2.8936641318417062
Sample_174,120.0,6.0,0,1,2,2.893656214078086
Sample_175,120.0,6.0,1,0,2,2.893494572350545
Sample_176,120.0,6.0,1,1,2,2.8934867021230684
Sample_177,120.0,6.5,0,0,2,2.893841087414682
Sample_178,120.0,6.5,0,1,2,2.8938332500121513
Sample_179,120.0,6.5,1,0,2,2.8936714843207367
Sample_180,120.0,6.5,1,1,2,2.893663694454494
Sample_181,120.0,7.0,0,0,2,2.8940178637398852
Sample_182,120.0,7.0,0,1,2,2.894010107042619
Sample_183,120.0,7.0,1,0,2,2.893848224859372
Sample_184,120.0,7.0,1,1,2,2.8938405156963496
Sample_185,120.0,7.5,0,0,2,2.8941944364648013
Sample_186,120.0,7.5,0,1,2,2.894186760805834
Sample_187,120.0,7.5,1,0,2,2.8940247696188717
Sample_188,120.0,7.5,1,1,2,2.8940171414899196
Sample_189,120.0,8.0,0,0,2,2.894370781283002
Sample_190,120.0,8.0,0,1,2,2.8943631869841875
Sample_191,120.0,8.0,1,0,2,2.8942010942966623
Sample_192,120.0,8.0,1,1,2,2.8941935475214504
Sample_193,110.0,7.5,0,0,2,2.8941226973671315
Sample_194,110.0,7.5,0,1,2,2.8941309794050296
Sample_195,110.0,7.5,1,0,2,2.8939450501967956
Sample_196,110.0,7.5,1,1,2,2.8939533805015802
