,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_68,130.0,2.0,1,1,2,2.4736273244170395
Sample_69,130.0,4.0,0,0,2,3.920727393939401
Sample_70,130.0,4.0,0,1,2,3.060978882063884
Sample_71,130.0,4.0,1,0,2,2.557016268724989
Sample_72,130.0,4.0,1,1,2,2.742145556194272
Sample_73,100.0,8.0,0,0,2,3.335493885339888
Sample_74,100.0,8.0,0,1,2,3.3078135085995086
Sample_75,100.0,8.0,1,0,2,2.062510463647182
Sample_76,100.0,8.0,1,1,2,3.0288156168003315
Sample_77,130.0,1.5,0,0,2,3.218994121212125
Sample_78,130.0,1.5,0,1,2,2.56862603357903
Sample_79,130.0,1.5,1,0,2,2.341122511149229
Sample_80,130.0,1.5,1,1,2,2.4736273244170395
Sample_81,130.0,2.5,0,0,2,3.218994121212125
Sample_82,130.0,2.5,0,1,2,2.56862603357903
Sample_83,130.0,2.5,1,0,2,2.341122511149229
Sample_84,130.0,2.5,1,1,2,2.4736273244170395
Sample_85,130.0,3.5,0,0,2,3.920727393939401
Sample_86,130.0,3.5,0,1,2,3.060978882063884
Sample_87,130.0,3.5,1,0,2,2.557016268724989
Sample_88,130.0,3.5,1,1,2,2.742145556194272
Sample_89,130.0,4.5,0,0,2,3.920727393939401
Sample_90,130.0,4.5,0,1,2,3.060978882063884
Sample_91,130.0,4.5,1,0,2,2.557016268724989
Sample_92,130.0,4.5,1,1,2,2.742145556194272
Sample_93,100.0,7.0,0,0,2,3.335493885339888
Sample_94,100.0,7.0,0,1,2,3.3078135085995086
Sample_95,100.0,7.0,1,0,2,2.062510463647182
Sample_96,100.0,7.0,1,1,2,3.0288156168003315
Sample_97,100.0,7.5,0,0,2,3.335493885339888
Sample_98,100.0,7.5,0,1,2,3.3078135085995086
Sample_99,100.0,7.5,1,0,2,2.062510463647182
Sample_100,100.0,7.5,1,1,2,3.0288156168003315
Sample_101,100.0,8.5,0,0,2,3.335493885339888
Sample_102,100.0,8.5,0,1,2,3.3078135085995086
Sample_103,100.0,8.5,1,0,2,2.062510463647182
Sample_104,100.0,8.5,1,1,2,3.0288156168003315
Sample_105,100.0,9.0,0,0,2,3.335493885339888
Sample_106,100.0,9.0,0,1,2,3.3078135085995086
Sample_107,100.0,9.0,1,0,2,2.062510463647182
Sample_108,100.0,9.0,1,1,2,3.0288156168003315
Sample_109,100.0,9.5,0,0,2,3.335493885339888
Sample_110,100.0,9.5,0,1,2,3.3078135085995086
Sample_111,100.0,9.5,1,0,2,2.062510463647182
Sample_112,100.0,9.5,1,1,2,3.0288156168003315
Sample_113,100.0,10.0,0,0,2,3.335493885339888
Sample_114,100.0,10.0,0,1,2,3.3078135085995086
Sample_115,100.0,10.0,1,0,2,2.062510463647182
Sample_116,100.0,10.0,1,1,2,3.0288156168003315
Sample_117,130.0,5.0,0,0,2,3.920727393939401
Sample_118,130.0,5.0,0,1,2,3.060978882063884
Sample_119,130.0,5.0,1,0,2,2.557016268724989
Sample_120,130.0,5.0,1,1,2,2.742145556194272
Sample_121,120.0,1.5,0,0,2,3.218994121212125
Sample_122,120.0,1.5,0,1,2,2.56862603357903
Sample_123,120.0,1.5,1,0,2,2.341122511149229
Sample_124,120.0,1.5,1,1,2,2.4736273244170395
Sample_125,120.0,2.0,0,0,2,3.218994121212125
Sample_126,120.0,2.0,0,1,2,2.56862603357903
Sample_127,120.0,2.0,1,0,2,2.341122511149229
Sample_128,120.0,2.0,1,1,2,2.4736273244170395
Sample_129,120.0,2.5,0,0,2,3.218994121212125
Sample_130,120.0,2.5,0,1,2,2.56862603357903
Sample_131,120.0,2.5,1,0,2,2.341122511149229
Sample_132,120.0,2.5,1,1,2,2.4736273244170395
Sample_133,120.0,3.0,0,0,2,3.218994121212125
Sample_134,120.0,3.0,0,1,2,2.56862603357903
Sample_135,120.0,3.0,1,0,2,2.341122511149229
Sample_136,120.0,3.0,1,1,2,2.4736273244170395
Sample_137,120.0,3.5,0,0,2,3.920727393939401
Sample_138,120.0,3.5,0,1,2,3.060978882063884
Sample_139,120.0,3.5,1,0,2,2.557016268724989
Sample_140,120.0,3.5,1,1,2,2.742145556194272
Sample_141,120.0,4.0,0,0,2,3.920727393939401
Sample_142,120.0,4.0,0,1,2,3.060978882063884
Sample_143,120.0,4.0,1,0,2,2.557016268724989
Sample_144,120.0,4.0,1,1,2,2.742145556194272
Sample_145,120.0,4.5,0,0,2,3.920727393939401
Sample_146,120.0,4.5,0,1,2,3.060978882063884
Sample_147,120.0,4.5,1,0,2,2.557016268724989
Sample_148,120.0,4.5,1,1,2,2.742145556194272
Sample_149,110.0,7.0,0,0,2,3.335493885339888
Sample_150,110.0,7.0,0,1,2,3.3078135085995086
Sample_151,110.0,7.0,1,0,2,2.062510463647182
Sample_152,110.0,7.0,1,1,2,3.0288156168003315
Sample_153,110.0,8.0,0,0,2,3.335493885339888
Sample_154,110.0,8.0,0,1,2,3.3078135085995086
Sample_155,110.0,8.0,1,0,2,2.062510463647182
Sample_156,110.0,8.0,1,1,2,3.0288156168003315
Sample_157,110.0,8.5,0,0,2,3.335493885339888
Sample_158,110.0,8.5,0,1,2,3.3078135085995086
Sample_159,110.0,8.5,1,0,2,2.062510463647182
Sample_160,110.0,8.5,1,1,2,3.0288156168003315
Sample_161,110.0,9.0,0,0,2,3.335493885339888
Sample_162,110.0,9.0,0,1,2,3.3078135085995086
Sample_163,110.0,9.0,1,0,2,2.062510463647182
Sample_164,110.0,9.0,1,1,2,3.0288156168003315
Sample_165,120.0,5.0,0,0,2,3.920727393939401
Sample_166,120.0,5.0,0,1,2,3.060978882063884
Sample_167,120.0,5.0,1,0,2,2.557016268724989
Sample_168,120.0,5.0,1,1,2,2.742145556194272
Sample_169,120.0,5.5,0,0,2,3.919785424242432
Sample_170,120.0,5.5,0,1,2,3.0975323431613457
Sample_171,120.0,5.5,1,0,2,2.535972662664383
Sample_172,120.0,5.5,1,1,2,2.7655586233523395
Sample_173,120.0,6.0,0,0,2,3.919785424242432
Sample_174,120.0,6.0,0,1,2,3.0975323431613457
Sample_175,120.0,6.0,1,0,2,2.535972662664383
Sample_176,120.0,6.0,1,1,2,2.7655586233523395
Sample_177,120.0,6.5,0,0,2,3.5801239696969747
Sample_178,120.0,6.5,0,1,2,3.1632059041769067
Sample_179,120.0,6.5,1,0,2,2.279401389937109
Sample_180,120.0,6.5,1,1,2,2.855552490674207
Sample_181,120.0,7.0,0,0,2,3.5801239696969747
Sample_182,120.0,7.0,0,1,2,3.1632059041769067
Sample_183,120.0,7.0,1,0,2,2.279401389937109
Sample_184,120.0,7.0,1,1,2,2.855552490674207
Sample_185,120.0,7.5,0,0,2,3.5801239696969747
Sample_186,120.0,7.5,0,1,2,3.1632059041769067
Sample_187,120.0,7.5,1,0,2,2.279401389937109
Sample_188,120.0,7.5,1,1,2,2.855552490674207
Sample_189,120.0,8.0,0,0,2,3.5801239696969747
Sample_190,120.0,8.0,0,1,2,3.1632059041769067
Sample_191,120.0,8.0,1,0,2,2.279401389937109
Sample_192,120.0,8.0,1,1,2,2.855552490674207
Sample_193,110.0,7.5,0,0,2,3.335493885339888
Sample_194,110.0,7.5,0,1,2,3.3078135085995086
Sample_195,110.0,7.5,1,0,2,2.062510463647182
Sample_196,110.0,7.5,1,1,2,3.0288156168003315
