,Baking temperature (°C),Baking time (hours),Resistive switching film,Bottom electrode material,Top electrode material,Set_Voltage_Mean
Sample_67,130.0,2.0,1,0,2,2.2452367782825604
Sample_68,130.0,2.0,1,1,2,2.2795515697162045
Sample_69,130.0,4.0,0,0,2,3.123406560082003
Sample_70,130.0,4.0,0,1,2,3.1577213515156473
Sample_71,130.0,4.0,1,0,2,2.5495069594780944
Sample_72,130.0,4.0,1,1,2,2.5838217509081005
Sample_73,100.0,8.0,0,0,2,3.381609637661313
Sample_74,100.0,8.0,0,1,2,3.4159244290931383
Sample_75,100.0,8.0,1,0,2,2.8077100370574044
Sample_76,100.0,8.0,1,1,2,2.8420248284892295
Sample_77,130.0,1.5,0,0,2,2.7430688335916784
Sample_78,130.0,1.5,0,1,2,2.7773836250253225
Sample_79,130.0,1.5,1,0,2,2.1691692329877696
Sample_80,130.0,1.5,1,1,2,2.203484024417776
Sample_81,130.0,2.5,0,0,2,2.895203924183079
Sample_82,130.0,2.5,0,1,2,2.929518715616723
Sample_83,130.0,2.5,1,0,2,2.321304323582808
Sample_84,130.0,2.5,1,1,2,2.3556191150164523
Sample_85,130.0,3.5,0,0,2,3.047339014779027
Sample_86,130.0,3.5,0,1,2,3.08165380621449
Sample_87,130.0,3.5,1,0,2,2.473439414180575
Sample_88,130.0,3.5,1,1,2,2.5077542056087623
Sample_89,130.0,4.5,0,0,2,3.199474105378613
Sample_90,130.0,4.5,0,1,2,3.233788896812257
Sample_91,130.0,4.5,1,0,2,2.625574504778342
Sample_92,130.0,4.5,1,1,2,2.6598892962083482
Sample_93,100.0,7.0,0,0,2,3.229474547061727
Sample_94,100.0,7.0,0,1,2,3.2637893384935523
Sample_95,100.0,7.0,1,0,2,2.6555749464578184
Sample_96,100.0,7.0,1,1,2,2.6898897378932816
Sample_97,100.0,7.5,0,0,2,3.3055420923592465
Sample_98,100.0,7.5,0,1,2,3.3398568837928906
Sample_99,100.0,7.5,1,0,2,2.7316424917589757
Sample_100,100.0,7.5,1,1,2,2.765957283190801
Sample_101,100.0,8.5,0,0,2,3.4576771829588324
Sample_102,100.0,8.5,0,1,2,3.4919919743924765
Sample_103,100.0,8.5,1,0,2,2.8837775823567426
Sample_104,100.0,8.5,1,1,2,2.9180923737903868
Sample_105,100.0,9.0,0,0,2,3.5337447282581707
Sample_106,100.0,9.0,0,1,2,3.568059519689996
Sample_107,100.0,9.0,1,0,2,2.959845127656081
Sample_108,100.0,9.0,1,1,2,2.994159919087906
Sample_109,100.0,9.5,0,0,2,3.60981227355569
Sample_110,100.0,9.5,0,1,2,3.6441270649866055
Sample_111,100.0,9.5,1,0,2,3.035912672951781
Sample_112,100.0,9.5,1,1,2,3.0702274643845158
Sample_113,100.0,10.0,0,0,2,3.68587981885139
Sample_114,100.0,10.0,0,1,2,3.7201946102868533
Sample_115,100.0,10.0,1,0,2,3.1119802182511194
Sample_116,100.0,10.0,1,1,2,3.1462950096829445
Sample_117,130.0,5.0,0,0,2,3.27554165067977
Sample_118,130.0,5.0,0,1,2,3.3098564421097763
Sample_119,130.0,5.0,1,0,2,2.7016420500758613
Sample_120,130.0,5.0,1,1,2,2.7359568415095055
Sample_121,120.0,1.5,0,0,2,2.626289738647756
Sample_122,120.0,1.5,0,1,2,2.6606045300814003
Sample_123,120.0,1.5,1,0,2,2.0523901380493044
Sample_124,120.0,1.5,1,1,2,2.0867049294829485
Sample_125,120.0,2.0,0,0,2,2.7023572839470944
Sample_126,120.0,2.0,0,1,2,2.7366720753843765
Sample_127,120.0,2.0,1,0,2,2.1284576833468236
Sample_128,120.0,2.0,1,1,2,2.1627724747768298
Sample_129,120.0,2.5,0,0,2,2.7784248292482516
Sample_130,120.0,2.5,0,1,2,2.8127396206818958
Sample_131,120.0,2.5,1,0,2,2.204525228647981
Sample_132,120.0,2.5,1,1,2,2.238840020077987
Sample_133,120.0,3.0,0,0,2,2.8544923745484994
Sample_134,120.0,3.0,0,1,2,2.8888071659821435
Sample_135,120.0,3.0,1,0,2,2.2805927739482286
Sample_136,120.0,3.0,1,1,2,2.3149075653782347
Sample_137,120.0,3.5,0,0,2,2.9305599198460186
Sample_138,120.0,3.5,0,1,2,2.9648747112796627
Sample_139,120.0,3.5,1,0,2,2.356660319245748
Sample_140,120.0,3.5,1,1,2,2.390975110675754
Sample_141,120.0,4.0,0,0,2,3.0066274651408094
Sample_142,120.0,4.0,0,1,2,3.0409422565744535
Sample_143,120.0,4.0,1,0,2,2.4327278645405386
Sample_144,120.0,4.0,1,1,2,2.4670426559741827
Sample_145,120.0,4.5,0,0,2,3.0826950104437856
Sample_146,120.0,4.5,0,1,2,3.11700980187652
Sample_147,120.0,4.5,1,0,2,2.508795409841696
Sample_148,120.0,4.5,1,1,2,2.5431102012707925
Sample_149,110.0,7.0,0,0,2,3.3462536419983735
Sample_150,110.0,7.0,0,1,2,3.380568433431108
Sample_151,110.0,7.0,1,0,2,2.7723540413981027
Sample_152,110.0,7.0,1,1,2,2.8066688328290184
Sample_153,110.0,8.0,0,0,2,3.498388732595231
Sample_154,110.0,8.0,0,1,2,3.532703524027056
Sample_155,110.0,8.0,1,0,2,2.92448913199496
Sample_156,110.0,8.0,1,1,2,2.9588039234286043
Sample_157,110.0,8.5,0,0,2,3.5744562778918407
Sample_158,110.0,8.5,0,1,2,3.608771069325485
Sample_159,110.0,8.5,1,0,2,3.00055667729157
Sample_160,110.0,8.5,1,1,2,3.034871468723395
Sample_161,110.0,9.0,0,0,2,3.6505238231920885
Sample_162,110.0,9.0,0,1,2,3.6848386146257326
Sample_163,110.0,9.0,1,0,2,3.0766242225899987
Sample_164,110.0,9.0,1,1,2,3.110939014023643
Sample_165,120.0,5.0,0,0,2,3.158762555739486
Sample_166,120.0,5.0,0,1,2,3.19307734717313
Sample_167,120.0,5.0,1,0,2,2.584862955135577
Sample_168,120.0,5.0,1,1,2,2.619177746569221
Sample_169,120.0,5.5,0,0,2,3.2348301010397336
Sample_170,120.0,5.5,0,1,2,3.2691448924733777
Sample_171,120.0,5.5,1,0,2,2.6609305004394628
Sample_172,120.0,5.5,1,1,2,2.695245291869469
Sample_173,120.0,6.0,0,0,2,3.310897646337253
Sample_174,120.0,6.0,0,1,2,3.345212437770897
Sample_175,120.0,6.0,1,0,2,2.736998045736982
Sample_176,120.0,6.0,1,1,2,2.771312837166988
Sample_177,120.0,6.5,0,0,2,3.3869651916375005
Sample_178,120.0,6.5,0,1,2,3.4212799830711447
Sample_179,120.0,6.5,1,0,2,2.8130655910335918
Sample_180,120.0,6.5,1,1,2,2.847380382467236
Sample_181,120.0,7.0,0,0,2,3.4630327369368388
Sample_182,120.0,7.0,0,1,2,3.497347528370483
Sample_183,120.0,7.0,1,0,2,2.889133136334749
Sample_184,120.0,7.0,1,1,2,2.923447927764755
Sample_185,120.0,7.5,0,0,2,3.5391002822334485
Sample_186,120.0,7.5,0,1,2,3.573415073666183
Sample_187,120.0,7.5,1,0,2,2.9652006816331777
Sample_188,120.0,7.5,1,1,2,2.9995154730622744
Sample_189,120.0,8.0,0,0,2,3.6151678275318773
Sample_190,120.0,8.0,0,1,2,3.6494826189655214
Sample_191,120.0,8.0,1,0,2,3.0412682269316065
Sample_192,120.0,8.0,1,1,2,3.0755830183616126
Sample_193,110.0,7.5,0,0,2,3.4223211872986212
Sample_194,110.0,7.5,0,1,2,3.4566359787322654
Sample_195,110.0,7.5,1,0,2,2.8484215866965314
Sample_196,110.0,7.5,1,1,2,2.8827363781283566
